index,Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Report Date,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
131,AAPL,111052,USD,2020,Q1,2019-12-31,2020-01-29,2021-01-28,17660160000.0,17818416000.0,91819000000.0,-56602000000.0,35217000000.0,-9648000000.0,-5197000000.0,-4451000000.0,,25569000000.0,349000000.0,,25918000000.0,,25918000000,-3682000000.0,22236000000,,22236000000,22236000000
132,AAPL,111052,USD,2020,Q2,2020-03-31,2020-05-01,2021-04-29,17440404000.0,17618764000.0,58313000000.0,-35943000000.0,22370000000.0,-9517000000.0,-4952000000.0,-4565000000.0,,12853000000.0,282000000.0,,13135000000.0,,13135000000,-1886000000.0,11249000000,,11249000000,11249000000
133,AAPL,111052,USD,2020,Q3,2020-06-30,2020-07-31,2021-07-28,17250292000.0,17419152000.0,59685000000.0,-37005000000.0,22680000000.0,-9589000000.0,-4831000000.0,-4758000000.0,,13091000000.0,46000000.0,,13137000000.0,,13137000000,-1884000000.0,11253000000,,11253000000,11253000000
134,AAPL,111052,USD,2020,Q4,2020-09-30,2020-10-30,2021-07-28,17057620000.0,17256524000.0,64698000000.0,-40009000000.0,24689000000.0,-9914000000.0,-4936000000.0,-4978000000.0,,14775000000.0,126000000.0,,14901000000.0,,14901000000,-2228000000.0,12673000000,,12673000000,12673000000
135,AAPL,111052,USD,2021,Q1,2020-12-31,2021-01-28,2022-01-28,16935119000.0,17113688000.0,111439000000.0,-67111000000.0,44328000000.0,-10794000000.0,-5631000000.0,-5163000000.0,,33534000000.0,45000000.0,,33579000000.0,,33579000000,-4824000000.0,28755000000,,28755000000,28755000000
136,AAPL,111052,USD,2021,Q2,2021-03-31,2021-04-29,2022-04-29,16753476000.0,16929157000.0,89584000000.0,-51505000000.0,38079000000.0,-10576000000.0,-5314000000.0,-5262000000.0,,27503000000.0,508000000.0,,28011000000.0,,28011000000,-4381000000.0,23630000000,,23630000000,23630000000
137,AAPL,111052,USD,2021,Q3,2021-06-30,2021-07-28,2022-07-29,16844298000.0,17021423000.0,81434000000.0,-46179000000.0,35255000000.0,-11129000000.0,-5412000000.0,-5717000000.0,,24126000000.0,243000000.0,,24369000000.0,,24369000000,-2625000000.0,21744000000,,21744000000,21744000000
138,AAPL,111052,USD,2021,Q4,2021-09-30,2021-10-29,2022-07-29,16391724000.0,16519291000.0,83360000000.0,-48186000000.0,35174000000.0,-11388000000.0,-5616000000.0,-5772000000.0,,23786000000.0,-538000000.0,,23248000000.0,,23248000000,-2697000000.0,20551000000,,20551000000,20551000000
139,AAPL,111052,USD,2022,Q1,2021-12-31,2022-01-28,2023-02-03,16391724000.0,16519291000.0,123945000000.0,-69702000000.0,54243000000.0,-12755000000.0,-6449000000.0,-6306000000.0,,41488000000.0,-247000000.0,,41241000000.0,,41241000000,-6611000000.0,34630000000,,34630000000,34630000000
140,AAPL,111052,USD,2022,Q2,2022-03-31,2022-04-29,2023-05-05,16391724000.0,16519291000.0,97278000000.0,-54719000000.0,42559000000.0,-12580000000.0,-6193000000.0,-6387000000.0,,29979000000.0,160000000.0,,30139000000.0,,30139000000,-5129000000.0,25010000000,,25010000000,25010000000
